eBird English Name 2023,eBird English Name 2022,eBird Scientific Name 2022,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,Order,Family,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,One Percent Population Threshold
Yellow-bellied Flowerpecker,Yellow-bellied Flowerpecker,Dicaeum melanozanthum,,,,,Passeriformes,Dicaeidae (Flowerpeckers),Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,
Pale-billed Flowerpecker,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Low,Trend Inconclusive,Stable,Large,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,
Nilgiri Flowerpecker,Nilgiri Flowerpecker,Dicaeum concolor,Low,Trend Inconclusive,Stable,Moderate,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Western Ghats,TRUE,TRUE,FALSE,Non-specialized,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,
Plain Flowerpecker,Plain Flowerpecker,Dicaeum minullum,Low,Insufficient Data,Trend Inconclusive,Moderate,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
Andaman Flowerpecker,Andaman Flowerpecker,Dicaeum virescens,Moderate,Trend Inconclusive,Trend Inconclusive,Restricted,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Andaman Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Not Recognised,Schedule-II,,,
Fire-breasted Flowerpecker,Fire-breasted Flowerpecker,Dicaeum ignipectus,Low,Stable,Stable,Moderate,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,
Scarlet-backed Flowerpecker,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Low,Stable,Trend Inconclusive,Moderate,Passeriformes,Dicaeidae (Flowerpeckers),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,
Ruby-cheeked Sunbird,Ruby-cheeked Sunbird,Chalcoparia singalensis,Low,Insufficient Data,Insufficient Data,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,
Purple-rumped Sunbird,Purple-rumped Sunbird,Leptocoma zeylonica,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,
Crimson-backed Sunbird,Crimson-backed Sunbird,Leptocoma minima,Moderate,Decline,Trend Inconclusive,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Fruit & Nect,Western Ghats,TRUE,TRUE,FALSE,Forest & Plantation,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,
